Unnamed: 0,country,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
206,United States,222585000.0,225055000.0,227225000.0,229466000.0,231664000.0,233792000.0,235825000.0,237924000.0,240133000.0,242289000.0,244499000.0,246819000.0,249623000,252981000,256514000.0,259919000.0,263126000.0,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,329484123.0
207,Uruguay,2875724.0,2895683.0,2915389.0,2934624.0,2953852.0,2973048.0,2992250.0,3011519.0,3030651.0,3049581.0,3068714.0,3088603.0,3109598,3131657,3154459.0,3177734.0,3201149.0,3224275,3247383,3270158,3291053,3308005,3319734,3325471,3326046,3323661,3321486,3321799,3325403,3331753,3340221,3349676,3359273,3368926,3378975.0,3389436.0,3400439.0,3412013.0,3424139.0,3436645.0,3449290.0,3461731.0,3473727.0
208,Uzbekistan,15057226.0,15476928.0,15898760.0,16321692.0,16747428.0,17177663.0,17615037.0,18061283.0,18515579.0,18976411.0,19443890.0,19918119.0,20510000,20952000,21449000.0,21942000.0,22377000.0,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500.0,30243200.0,30757700.0,31298900.0,31847900.0,32388600.0,32956100.0,33580350.0,34232050.0
209,Vanuatu,109397.0,112543.0,115598.0,118546.0,121398.0,124213.0,127058.0,129989.0,132988.0,136075.0,139319.0,142801.0,146575,150718,155176.0,159743.0,164128.0,168161,171721,174917,177987,181259,184964,189209,193927,198960,204123,209282,214379,219464,224700,230244,236216,242658,249505.0,256637.0,263888.0,271128.0,278326.0,285499.0,292675.0,299882.0,307150.0
210,"Venezuela, RB",14364726.0,14771270.0,15182616.0,15597878.0,16017570.0,16443128.0,16876703.0,17319513.0,17772000.0,18232733.0,18698850.0,19166474.0,19632665,20096314,20557694.0,21016900.0,21474553.0,21931087,22385650,22837743,23288567,23739835,24192449,24646471,25100407,25551624,25996594,26432445,26850190,27247601,27635827,28031010,28439942,28887873,29360827.0,29781046.0,30042973.0,30081827.0,29851249.0,29402480.0,28887117.0,28515829.0,28435943.0
211,Vietnam,51959021.0,53095406.0,54281841.0,55522804.0,56814309.0,58148384.0,59512619.0,60896732.0,62293859.0,63701974.0,65120432.0,66550231.0,67988855,69436956,70883488.0,72300308.0,73651220.0,74910462,76068739,77133212,78115712,79035871,79910411,80742500,81534406,82301650,83062819,83832662,84617545,85419588,86243424,87092250,87967655,88871384,89801926.0,90752593.0,91713850.0,92677082.0,93640435.0,94600643.0,95545959.0,96462108.0,97338583.0
212,Virgin Islands (U.S.),95929.0,96183.0,99636.0,99853.0,100068.0,100348.0,100600.0,100760.0,100842.0,100901.0,100952.0,101041.0,103963,104807,105712.0,106578.0,107318.0,107818,108095,108357,108537,108599,108642,108549,108509,108505,108466,108453,108369,108337,108397,108404,108357,108290,108188.0,108041.0,107882.0,107712.0,107516.0,107281.0,107001.0,106669.0,106290.0
213,West Bank and Gaza,19833350.995348837,20182691.776744187,20535496.037209302,20897701.906976745,21273967.85116279,21653704.6,22032255.306976743,22417915.413953487,22814890.623255815,23222338.311627906,23634000.246511627,24045498.81395349,1978248,2068845,2163591.0,2262676.0,2366298.0,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998.0,4076708.0,4173398.0,4270092.0,4367088.0,4454805.0,4569087.0,4685306.0,4803269.0
214,"Yemen, Rep.",7414167.0,7669699.0,7941903.0,8231905.0,8541605.0,8869363.0,9213078.0,9572170.0,9941102.0,10322044.0,10730864.0,11189185.0,11709987,12302127,12954157.0,13634082.0,14297617.0,14913313,15469274,15975676,16450306,16921157,17409071,17918369,18443684,18985001,19540096,20107416,20687648,21282514,21892149,22516464,23154854,23807586,24473176.0,25147112.0,25823488.0,26497881.0,27168210.0,27834811.0,28498683.0,29161922.0,29825968.0
215,Zambia,5468259.0,5656145.0,5851818.0,6055361.0,6265869.0,6481907.0,6701547.0,6923148.0,7146965.0,7372835.0,7598270.0,7820199.0,8036849,8246662,8451346.0,8656484.0,8869745.0,9096608,9339740,9597610,9866474,10140564,10415942,10692197,10971704,11256740,11550641,11856244,12173518,12502958,12848531,13215142,13605986,14023199,14465148.0,14926551.0,15399793.0,15879370.0,16363449.0,16853608.0,17351714.0,17861034.0,18383956.0
216,Zimbabwe,6929663.0,7160021.0,7408630.0,7675582.0,7958239.0,8254746.0,8562259.0,8877489.0,9200150.0,9527202.0,9849129.0,10153852.0,10432409,10681008,10900511.0,11092775.0,11261752.0,11410721,11541215,11653254,11747079,11822722,11881482,11923906,11954293,11982219,12019911,12076697,12155496,12255920,12379553,12526964,12697728,12894323,13115149.0,13350378.0,13586710.0,13814642.0,14030338.0,14236599.0,14438812.0,14645473.0,14862927.0
